Designator,Mid X,Mid Y,Layer,Rotation
C1,46.60,20.60,Bottom,0.0
C3,37.80,17.10,Bottom,90.0
D1,88.50,42.00,Bottom,180.0
D2,88.50,37.00,Bottom,180.0
D3,80.50,33.50,Bottom,0.0
D4, 7.20,26.10,Bottom,90.0
D5, 2.00,39.10,Bottom,0.0
D6,58.00,20.50,Bottom,270.0
D7,63.00,20.50,Bottom,270.0
D8,68.00,20.50,Bottom,270.0
D9,73.00,20.50,Bottom,270.0
D10,15.80, 9.60,Bottom,180.0
D11,111.40,36.40,Bottom,270.0
D12,116.40,36.40,Bottom,270.0
D13,121.40,36.40,Bottom,270.0
D14,142.50,33.50,Bottom,0.0
D15,142.50,38.50,Bottom,0.0
D16,69.00,10.50,Bottom,90.0
D17,147.00,12.50,Bottom,180.0
D18,173.00,14.00,Bottom,0.0
D19,180.50,19.50,Bottom,0.0
D20,180.50,24.50,Bottom,0.0
D21,173.00,29.50,Bottom,0.0
D22,173.00,34.50,Bottom,0.0
D23,173.00,39.00,Bottom,0.0
D24,155.00,34.50,Bottom,180.0
D25,155.00,29.50,Bottom,180.0
D26,155.00,24.30,Bottom,180.0
D27, 3.30,27.30,Bottom,270.0
D28,155.00,14.20,Bottom,180.0
D29,169.10, 8.10,Bottom,90.0
D30,155.00,19.60,Bottom,180.0
D31, 4.30,27.30,Bottom,270.0
D32, 3.70,23.20,Bottom,90.0
ENERGY,-3.10,26.00,Bottom,90.0
IC1,52.00,32.00,Bottom,270.0
IC2,63.00,32.00,Bottom,270.0
IC3,74.00,32.00,Bottom,270.0
IC4,58.70, 5.30,Bottom,180.0
IC6,42.00,19.60,Bottom,180.0
Q1,43.60,35.50,Bottom,180.0
Q2,43.50,32.10,Bottom,0.0
R1,65.50,11.40,Bottom,180.0
R2,65.50, 9.20,Bottom,0.0
R3,79.10,20.10,Bottom,0.0
R4,79.10,19.00,Bottom,0.0
R5,79.10,17.90,Bottom,0.0
R6,79.10,16.10,Bottom,0.0
R7,79.10,15.00,Bottom,0.0
R8,79.10,13.90,Bottom,0.0
R9,79.10,12.10,Bottom,0.0
R10,79.10,11.00,Bottom,0.0
R11,79.10, 9.90,Bottom,0.0
R12,79.10, 8.10,Bottom,0.0
R13,79.10, 7.00,Bottom,0.0
R14,79.10, 5.90,Bottom,0.0
R15,79.10, 4.30,Bottom,0.0
R16,79.10, 3.20,Bottom,0.0
R17,79.10, 2.10,Bottom,0.0
R18,44.56,29.20,Bottom,90.0
R19,42.56,38.40,Bottom,270.0
R20,41.30,15.40,Bottom,270.0
R21,39.70,15.20,Bottom,90.0
R22,42.50,15.40,Bottom,270.0
R23,43.60,15.40,Bottom,90.0
R24,43.10,25.10,Bottom,90.0
R25,41.00,25.10,Bottom,90.0
STEREO,-3.30,13.00,Bottom,0.0
