Designator,Mid X,Mid Y,Layer,Rotation
C8,18.90,13.40,Bottom,270.0
C9,28.30,13.40,Bottom,90.0
C10,17.40, 8.60,Bottom,0.0
C11,17.40,13.40,Bottom,270.0
C12,20.60, 8.60,Bottom,180.0
C13,23.60,13.40,Bottom,270.0
C14,25.10,13.40,Bottom,90.0
C15,26.70,13.40,Bottom,90.0
C18,16.70,21.60,Bottom,270.0
C19,26.60,25.40,Bottom,90.0
C20,27.10,22.20,Bottom,270.0
C21,25.20,25.40,Bottom,90.0
C22,25.60,22.20,Bottom,270.0
C23,28.50,22.20,Bottom,270.0
IC3,21.10,19.40,Bottom,90.0
L1, 4.60,10.40,Bottom,270.0
R3,15.20,18.30,Bottom,270.0
R4,22.00,13.40,Bottom,270.0
R5,20.40,13.40,Bottom,270.0
R6,23.80,25.40,Bottom,90.0
R7,22.20,25.40,Bottom,90.0
R8,20.70,25.40,Bottom,90.0
R9,19.10,25.40,Bottom,90.0
R10,17.50,25.40,Bottom,90.0
R11,15.20,21.60,Bottom,270.0
R12,31.60,22.20,Bottom,270.0
R13,30.00,22.20,Bottom,270.0
